"regional_code","common_name_en","common_name_fr","scientific_name","aphia_id","count_of_occurrences_in_db"
4500,"Cephalopoda unidentified",NA,"Cephalopoda (c.)",11707,1
4525,"Warty bobtail squid","Rossia palpebrosa","Rossia palpebrosa",153083,1
5201,"Striate cup-and-saucer",NA,"Crucibulum striatum",160233,1
6132,"Northern starfish","Leptasterias (Leptasterias) muelleri","Leptasterias (Leptasterias) muelleri",125158,1
6133,"Pontaster unidentified",NA,"Pontaster sp.",123244,1
6217,"Stegophiura nodosa","Stegophiura nodosa","Stegophiura nodosa",124943,1
6397,"Sea urchin/sand dollar unidentified",NA,"Echinoidea (c.)",123082,1
6700,"Psoluse/Thyone unidentified",NA,"Psoluse/Thyone",NA,1
6900,"Sea lilies unidentified",NA,"Crinoidea (c.)",123081,1
7500,"obsolete",NA,"Obsolete",793,1
7600,"Trematoda unidentified",NA,"Trematoda (c.)",19948,1
7709,"Anemone (A.cristata)",NA,"Actinauge cristata",158210,1
7710,"Duva florida","Duva florida","Duva florida",146943,1
7713,"Sea anemone (L. multicorne)",NA,"Liponema multicorne",593072,1
7714,"Sea pen (H. finmarchica)","Plume de mer (H. finmarchica)","Halipteris finmarchica",128509,1
7725,"Seaworm (L. filicornis)",NA,"Laetmonice filicornis",129844,1
7726,"Barnacle (A. michelottianum)","Balane (A. michelottianum)","Arcoscalpellum michelottianum",106182,1
7730,"Sea star (N. americana)",NA,"Novodinia americana",178261,1
7740,"Bottle-brush",NA,"Thuiaria thuja",117940,1
7741,"Hairy whelk",NA,"Colus pubescens",160212,1
7742,"Arctic whelk",NA,"Plicifusus kroyeri",491269,1
7744,"Rough barnacle",NA,"Balanus balanus",106213,1
7746,"Stegocephalus inflatus",NA,"Stegocephalus inflatus",103105,1
7747,"Slime stars",NA,"Pteraster sp.",123335,1
7750,"Glowingfish",NA,"Neoscopelus macrolepidotus",126634,1
8000,"obsolete",NA,"Obsolete",NA,1
8145,"Blind lobster","Stereomastis sculpta","Stereomastis sculpta",107700,1
8320,"Atlantic tube anemone","Pachycerianthus borealis","Pachycerianthus borealis",283816,1
8323,"Bubble gum coral","Paragorgia arborea","Paragorgia arborea",125418,1
8328,"Anthomastus grandiflorus","Anthomastus grandiflorus","Anthomastus grandiflorus",125335,1
8331,"Spider hazard coral","Desmophyllum pertusum","Desmophyllum pertusum",1245747,1
8364,"Geodia unidentified",NA,"Geodia sp.",132005,1
8626,"Aplysilla sulfurea","Aplysilla sulfurea","Aplysilla sulfurea",236120,1
8632,"Amphilectus unidentified",NA,"Amphilectus sp.",131933,1
9344,"Polyides rotunda","Polyides rotunda","Polyides rotunda",145668,1
9360,"Obsolete",NA,"Obsolete",NA,1
