regional_code,common_name_en,common_name_fr,scientific_name,aphia_ID,count_of_occurrences_in_db
5309,Bamboo worm (M. sarsi),Polychètes (M. sarsi),Maldane sarsi,130305,16
5310,Bamboo worms (Nicomache sp.),Polychètes (Nicomache sp.),Nicomache sp,129357,1
5461,Seaworm (E. borealis),Polychète (E. borealis),Euphrosine borealis,130081,19
5475,Seaworm (N. conchylega),Polychète (N. conchylega),Nothria conchylega,130467,1
5479,Seaworm (E. pennata),Polychète (E. pennata),Eunice pennata,130060,6
5617,Trumpet Worm (C. granulata),Ver-trompette (C. granulata),Cistenides granulata,238377,5
5646,Seaworm (M. cristata),Polychète (M. cristata),Melinna cristata,129804,19
5673,Terebellid Worm (Terebellidae),Polychète sédentaire (Terebellidae),Terebellidae,982,4
5675,Terebellid worm (A. cirrata),Polychète (A. cirrita),Amphitrite cirrata,131474,2
5678,Terebellid worm (A. maculata),Polychète (A. maculata),Axionice maculata,131484,1
5746,Flabelligerid Worm (Flabelligeridae),Polychète sédentaire (Flabelligeridae),Flabelligeridae,976,1
5755,Flabelligerid worm (B. inhabilis),Polychète (B. inhabilis),Brada inhabilis,130097,63
5900,Sipunculids (Sipuncula),Sipunculides (Sipuncula),Sipuncula,1268,130
5901,Sipunculids (Golfingia sp.),Sipunculides (Golfingia sp.),Golfingia sp.,136021,1
5902,Sipunculid (G. margaritacea),Sipunculide (G. margaritacea),Golfingia (golfingia) margaritacea,175027,40
5907,Hermit Sipunculid (P. strombus),Sipunculide (P. strombus),Phascolion (Phascolion) strombus strombus,410749,35
5934,Echiurid (H. arctica),Échiure (H. arctica),Hamingia arctica,110364,19
5935,Spoon Worm,Bonellie,Pseudobonellia iraidii,157605,3
5951,Sea Spiders (Pycnogonida),Araignées de mer (Pycnogonida),Pycnogonida,1302,36
5961,Sea Spiders (Nymphon sp.),Araignées de mer (Nymphon sp.),Nymphon sp.,134591,386
5964,Sea spider (N. hirtipes),Araignée de mer (N. hirtipes),Nymphon hirtipes,134690,5
5975,Sea Spider (P. litorale),Araignée de mer (P. litorale),Pycnogonum litorale,239867,1
6580,Barnacles (Cirripedia),Balanes (Cirripedia),Cirripedia,1082,1
6592,Barnacle (Balanus sp.),Balane (Balanus sp.),Balanus sp.,106122,4
6593,Turban Barnacle,Balane turbané,Chirona hameri,106207,58
6594,Barnacle (A. michelottianum),Balane (A. michelottianum),Arcoscalpellum michelottianum,106182,67
6595,Barnacles (Balanidae),Balanes (Balanidae),Balanidae,106057,64
6597,Barnacle (B. balanus),Balane (B. balanus),Balanus balanus,106213,1
6620,Cumaceans (Cumacea),Cumacés (Cumacea),Cumacea,1137,1
6683,Cumacean (Diastylis sp.),Cumacé (Diastylis sp.),Diastylis sp.,110398,1
6771,Isopod (A. psora),Isopode (A. psora),Aega psora,118827,168
6791,Isopod (S. infelix),Isopode (S. infelix),Syscenus infelix,156446,916
6930,Amphipods,Amphipodes,Amphipoda,1135,24
6967,Hyperiid (Themisto sp.),Hypéride (Themisto sp.),Themisto sp.,101800,6
6970,Hyperiid (T. compressa),Hypéride (T. compressa),Themisto compressa,156451,4
6972,Hyperiid (T. libellula),Hypéride (T. libellula),Themisto libellula,156452,219
6977,Hyperiid (H. galba),Hypéride (H. galba),Hyperia galba,103251,58
6996,Amphipod (Ampelisca sp.),Gammaride (Ampelisca sp.),Ampelisca sp.,101445,10
6999,Amphipod (A. eschrichtii),Gammaride (A. eschrichtii),Ampelisca eschrichtii,101897,3
7193,Gammarid (Eusiridae),Gammaride (Eusiridae),Eusiridae,101380,2
7195,Gammarid (E. cuspidatus),Gammaride (E.cuspidatus),Eusirus cuspidatus,102199,88
7211,Gammarid (R. aculeata),Gammaride (R. aculeata),Rhachotropis aculeata,102224,280
7234,Gammarid (H. abyssi),Gammaride (H. abyssi),Halice abyssi,102939,1
7268,Gammarid (M. dentata),Gammaride (M. dentata),Megamoera dentata,423508,8
7279,Gammarid (M. loveni),Gammaride (M. loveni),Maera loveni,102820,3
7357,Gammarid (Lysianassidae),Gammaride (Lysianassidae),Lysianassidae,101395,1
7383,Gammarid (E. loricata),Gammaride (E. loricata),Epimeria loricata,102146,102
7389,Gammarids (Anonyx sp.),Gammarides (Anonyx sp.),Anonyx sp.,101592,157
7483,Gammarid (N. monstrosa),Gammaride (N. monstrosa),Neohela monstrosa,102108,51
7511,Gammarid (Oedicerotidae),Gammaride (Oedicerotidae),Oedicerotidae,101400,1
7539,Gammarid (P. lynceus),Gammaride (P. lynceus),Paroediceros lynceus,102911,1
7555,Gammarid (O.saginatus),Gammaride (O.saginatus),Oediceros saginatus,102908,1
7586,Gammarid (P. hystrix),Gammaride (P. hystrix),Paramphithoe hystrix,102152,97
7594,Gammarid (P. abyssi),Gammaride (P. abyssi),Pardalisca abyssi,102945,6
7691,Gammarid (W. torelli),Gammaride (W. torelli),Wimvadocus torelli,535546,5
7750,Gammarid (S. inflatus),Gammaride (S. inflatus),Stegocephalus inflatus,103105,233
7881,Skeleton Shrimp,Caprellidés,Caprellidae,101361,1
7890,Caprellid (A. longicornis),Caprellide (A. longicornis),Aeginina longicornis,101820,2
7933,Mysids (Boreomysis sp.),Mysidacés (Boreomysis sp.),Boreomysis sp.,119842,1
7967,Mysid (Mysis sp.),Mysidacé (Mysis sp.),Mysis sp.,119886,1
7994,Horned Krill (M. norvegica),Euphauside (M. norvegica),Meganyctiphanes norvegica,110690,39
8024,Scarlet Shrimp,Gambon écarlate,Aristaeopsis edwardsiana,240796,3
8027,Shrimp (G. elegans),Crevette (G. elegans),Gennadas elegans,107095,2
8028,Shrimp (H. debilis),Crevette (H. debilis),Hymenopenaeus debilis,107117,7
8033,Shrimp (E. arcticus),Crevette (E. arcticus),Eusergestes arcticus,515738,150
8035,Scarlet Sergestid,Sergistidé écarlate,Sergia robusta,107136,15
8037,Caridean Shrimps (Caridea),Crevettes (Caridea),Caridea,106674,1
8039,Shrimp (Acanthephyra sp.),Crevette (Acanthephyra sp.),Acanthephyra sp.,107018,1
8040,Shrimp (A. pelagica),Crevette (A. pelagica),Acanthephyra pelagica,107581,10
8056,Crimson Pasiphaeid (P. tarda),Sivade (P. tarda),Pasiphaea tarda,107678,10
8057,Pink Glass Shrimp,"Sivade rose, Crevette blanche",Pasiphaea multidentata,107676,1658
8074,Eualid (Eualus sp.),Bouc (Eualus sp.),Eualus sp.,106986,32
8075,Arctic Eualid (E. fabricii),Bouc Arctique (E. fabricii),Eualus fabricii,158357,282
8077,Greenland Shrimp (E. macilentus),Bouc du Groenland (E. macilentus),Eualus macilentus,158359,417
8079,Circumpolar Eualid (E.gaimardii),Bouc (E.gaimardii),Eualus gaimardii,107504,4
8080,Circumpolar Eualid (E. gaimardii gaimardii),Bouc (E. gaimardii gaimardii),Eualus gaimardii gaimardii,515737,138
8081,Circumpolar Eualid (E. belcheri),Bouc (E. belcheri),Eualus belcheri,107502,27
8084,Blade Shrimp (Spirontocaris sp.),Bouc (Spirontocaris sp.),Spirontocaris sp.,106994,77
8085,Parrot Shrimp (S. spinus),Bouc perroquet (S. spinus),Spirontocaris spinus,107533,437
8086,Punctate Blade Shrimp (S. phippsii),Bouc (S. phippsii),Spirontocaris phippsii,107532,38
8087,Friendly Blade Shrimp (S. lilljeborgii),Bouc épineux (S. lilljeborgii),Spirontocaris liljeborgii,107531,489
8091,Lebbeids (Lebbeus sp.),Boucs (Lebbeus sp.),Lebbeus sp.,106989,12
8092,Spiny Lebbeid (L. groenlandicus),Bouc (L. groenlandicus),Lebbeus groenlandicus,107520,193
8093,Polar Lebbeid (L. polaris),Bouc (L. polaris),Lebbeus polaris,107521,848
8095,Shrimp (L. microceros),Bouc (L. microceros),Lebbeus microceros,158362,38
8108,Bristled Longbeak Shrimp (D. leptocerus),Crevette (D. leptocerus),Dichelopandalus leptocerus,158356,2
8110,Boreal Red Shrimp (Pandalus sp.),Crevette (Pandalus sp.),Pandalus sp.,107044,9
8111,Northern Shrimp,Crevette nordique,Pandalus borealis,107649,9252
8112,"Striped Pink Shrimp, Aesop Shrimp",Crevette ésope,Pandalus montagui,107651,1494
8113,Shrimp (A. propinqvus),Crevette (A. propinqvus),Atlantopandalus propinqvus,158351,194
8114,Golden shrimp (P. martia),Crevette (P. martia),Plesionika martia,107661,5
8119,Scultured Shrimp (S. boreas),Crevette de roche (ciselée) (S. boreas),Sclerocrangon boreas,107568,240
8125,"Sand Shrimp, Sevenspine Bay Shrimp",Crevette sable,Crangon septemspinosa,158355,3
8127,Shrimp (Sabinea sp.),Crevette (Sabinea sp.),Sabinea sp.,107012,6
8128,Sevenline Shrimp (S. septemcarinata),Crevette (S. septemcarinata),Sabinea septemcarinata,107567,502
8129,Sars Shrimp (S. sarsii),Crevette (S. sarsii),Sabinea sarsii,107566,187
8135,Norwegian Shrimp (P. norvegicus),Crevette (P. norvegicus),Pontophilus norvegicus,107563,1163
8138,Arctic Argid,Crevette verte,Argis dentata,107550,677
8154,American Lobster,Homard américain,Homarus americanus,156134,4
8164,Squat Lobster (M. curvirostra),Munidopsis curvirostra (M. curvirostra),Munidopsis curvirostra,107175,348
8173,Lobster Shrimp (C. templemani),Crevette fouisseuse (C. templemani),Calocaris templemani,158383,45
8178,Hermit Crab (Pagurus sp.),Bernard hermite droitier (Pagurus sp.),Pagurus sp.,106854,297
8180,Hermit Crab (P. pubescens),Bernard hermite (P. pubescens),Pagurus pubescens,107240,4
8182,Hairy Hermit Crab,Bernard hermite chevelu,Pagurus arcuatus,158402,14
8196,Norway King Crab (L. maja),Crabe épineux du Nord (L. maja),Lithodes maja,107205,1045
8206,Common Rock Crab,Crabe commun,Cancer irroratus,158057,7
8213,Snow Crab (C. opilio),Crabe des neiges  (C. opilio),Chionoecetes opilio,107315,1841
8216,Toad Crab (Hyas sp.),Crabe lyre (Hyas sp.),Hyas sp.,106903,49
8217,Atlantic Lyre Crab  (H. araneus),Crabe lyre (araignée) (H. araneus),Hyas araneus,107322,326
8219,Arctic Lyre Crab  (H. alutaceus),Crabe lyre (arctique)(H. alutaceus),Hyas alutaceus,442166,708
8263,Feather star (H. glacialis),Lis de mer ( H. glacialis),Heliometra glacialis,124223,35
8290,Sea Cucumbers,Cocombres de mer,Holothuroidea,123083,21
8293,Sea Cucumbers (Psolus sp.),Concombres de mer (Psolus sp.),Psolus sp.,146121,2
8294,Sea Cucumber (P. Phantapus),Holothurie (P. phantapus),Psolus phantapus,124710,67
8295,Scarlet Psolus,Psolus écarlate,Psolus fabricii,124703,12
8312,Orange Footed Sea Cucumber (C. frondosa),Concombre de mer (C. frondosa),Cucumaria frondosa,124612,91
8316,Sea Cucumber (E. barthii),Concombre de mer (E. barthii),Ekmania barthii,124681,1
8319,Sea cucumber (P. calcigera),Cocombre de mer (P. calcigera),Pentamera calcigera,124655,1
8322,Sea Cucumber (M. oolitica),Holothurie (M. oolitica),Molpadia oolitica,124802,27
8363,Sea Urchins (Strongylocentrotus sp.),Oursins (Strongylocentrotus sp.),Strongylocentrotus sp.,123390,895
8373,Common Sand Dollar (E. parma),Dollar de sable (E. parma),Echinarachnius parma,158062,48
8378,Heart Urchin (B. fragilis),Oursin coeur (B. fragilis),Brisaster fragilis,124404,1308
8390,Sea Stars (Asteroidea),Étoiles de mer (Asteroidea),Asteroidea,123080,61
8396,Purple Seastar,Astérie boréale commune,Asterias rubens,123776,18
8407,Mud Star (C. crispatus),Étoile de mer (C. crispatus),Ctenodiscus crispatus,123915,1747
8408,Sea Star (D. multipes),Étoile de mer (D. multipes),Diplopteraster multipes,124128,42
8409,Sea stars (Pteraster sp.),Étoiles de mer (Pteraster sp.),Pteraster sp.,123335,7
8410,Sea Star (P. militaris),Étoile de mer (P. militaris),Pteraster militaris,124147,261
8411,Sea Star (P. pulvillus),Étoile de mer (P. pulvillus),Pteraster pulvillus,124151,162
8412,Sea Star (P. obscurus),Étoile de mer (P. obscurus),Pteraster obscurus,124149,12
8429,Sea Star (C. granularis),Étoile de mer (C. granularis),Ceramaster granularis,124020,318
8431,Sea Star (H. phrygiana),Étoile de mer (H. phrygiana),Hippasteria phrygiana,124043,671
8433,Sea Star (P. parelii),Étoile de mer (P. parelii),Pseudarchaster parelii,124085,202
8435,Sea star (Poraniomorpha sp.),Étoile de mer (Poraniomorpha sp.),Poraniomorpha sp.,123321,114
8444,Sea star (L. furcifer),Étoile de mer (L. furcifer),Lophaster furcifer,124156,2
8445,Purple Sunstar,Soleil de mer pourpre,Solaster endeca,124160,109
8446,Sea star (T. mirabilis),Étoile de mer (T. mirabilis),Tremaster mirabilis,124002,5
8447,Spiny Sun Star,Soleil de mer épineux,Crossaster papposus,124154,472
8448,Sea star (N. americana),Étoile de mer (N. americana),Novodinia americana,178261,14
8483,Sea Stars (Henricia sp.),Étoiles de mer (Henricia sp.),Henricia sp.,123276,979
8510,Sea Stars (Leptasterias sp.),Étoiles de mer (Leptasterias sp.),Leptasterias sp.,123222,80
8511,Polar Sea Star (L. polaris),Étoile de mer polaire (L. polaris),Leptasterias (Hexasterias) polaris,125154,148
8513,Greenland Sea Star,Étoile de mer du Groenland,Leptasterias groenlandica,369176,144
8515,Sea star (S. albula),Étoile de mer (S. albula),Stephanasterias albula,123808,51
8516,Sea Star (U. lincki),Étoile de mer (U. lincki),Urasterias lincki,123815,5
8520,Sea Star (P. andromeda),Étoile de mer (P. andromeda),Psilaster andromeda,123908,245
8521,Sea Star (L. arcticus),Stelléridé (L. arcticus),Leptychaster arcticus,123896,72
8530,Brittle Stars (Ophiuroidea),Ophiures (Ophiuroidea),Ophiuroidea,123084,136
8540,Basket Stars (Gorgonocephalus sp.),Gorgonocéphales (Gorgonocephalus sp.),Gorgonocephalus sp.,123586,397
8541,Northen Basket Star  (G. arcticus),Gorgonocéphale (G. arcticus),Gorgonocephalus arcticus,124966,96
8551,Brittle Stars (Ophiura sp.),Ophiures (Ophiura sp.),Ophiura sp.,123574,5
8552,Brittle Star (O. robusta),Ophiure (O. robusta),Ophiura robusta,124933,32
8553,Brittle Star (O. sarsii),Ophiure (O. sarsii),Ophiura sarsii,124934,812
8570,Brittle Star (S. nodosa),Ophiure (S. nodosa),Stegophiura nodosa,124943,1
8575,Brittle Star (O. bidentata),Ophiure épineuse,Ophiacantha bidentata,124978,357
8583,Daisy Brittle Star,Ophiure paquerette,Ophiopholis aculeata,125125,811
8585,Brittle star (O. glacialis),Ophiure (O. glacialis),Ophioscolex glacialis,125147,154
8593,Brittle star (Amphiura sp.),Ophiures (Amphiura sp.),Amphiura sp.,123613,79
8680,"Ascidians, Sessile Tunicates (Ascidiacea)","Ascidies, tuniqués sessiles (Ascidiacea)",Ascidiacea,1839,655
8742,Sea squirts (Ascidia sp.),Ascidie (Ascidia sp.),Ascidia sp.,103483,527
8757,Tunicate (C. finmarkiensis),Ascidie (C. finmarkiensis),Cnemidocarpa finmarkiensis,103870,3
