STRAP-IML,nom_en,nom_fr,verbatimIdentification,aphiaID,scientificName,aphiaID_corr,lifeStage,Occurrences_2004-2022,taxonRank,occurenceRemarks,identificationRemarks,taxonomicRemarks,note_CN,name_sugg,STRAP-IML_sugg
8216,Toad Crab (Hyas sp.),Crabe lyre (Hyas sp.),Hyas sp.,106903,Hyas,106903,,49,Genus,,,,,Hyas,8216
8217,Atlantic Lyre Crab  (H. araneus),Crabe lyre (araignée) (H. araneus),Hyas araneus,107322,Hyas araneus,107322,,326,Species,,,,,Hyas araneus,8217
8219,Arctic Lyre Crab  (H. alutaceus),Crabe lyre (arctique)(H. alutaceus),Hyas alutaceus,442166,Hyas alutaceus,442166,,708,Species,Hyas coarcatatus restriced to south of St. Lawrence,,was Hyas coarctatus alutaceus (recorded as Hyas coarctatus),,Hyas alutaceus,8219
8263,Feather star (H. glacialis),Lis de mer ( H. glacialis),Heliometra glacialis,124223,Heliometra glacialis,124223,,35,Species,,,,,Heliometra glacialis,8263
8290,Sea Cucumbers,Cocombres de mer,Holothuroidea,123083,Holothuroidea,123083,,21,Species,,,,incertain,Holothuroidea,8290
8293,Sea Cucumbers (Psolus sp.),Concombres de mer (Psolus sp.),Psolus sp.,146121,Psolus,146121,,2,Genus,,,,,Psolus,8293
8294,Sea Cucumber (P. Phantapus),Holothurie (P. phantapus),Psolus phantapus,124710,Psolus phantapus,124710,,67,Species,,,,,Psolus phantapus,8294
8295,Scarlet Psolus,Psolus écarlate,Psolus fabricii,124703,Psolus fabricii,124703,,12,Species,,,,,Psolus fabricii,8295
8312,Orange Footed Sea Cucumber (C. frondosa),Concombre de mer (C. frondosa),Cucumaria frondosa,124612,Cucumaria frondosa,124612,,91,Species,,,,,Cucumaria frondosa,8312
8316,Sea Cucumber (E. barthii),Concombre de mer (E. barthii),Ekmania barthii,124681,Ekmania barthii,124681,,1,Species,,,,,Ekmania barthii,8316
8319,Sea cucumber (P. calcigera),Cocombre de mer (P. calcigera),Pentamera calcigera,124655,Pentamera calcigera,124655,,1,Species,burrower,,,,Pentamera calcigera,8319
8322,Sea Cucumber (M. oolitica),Holothurie (M. oolitica),Molpadia oolitica,124802,Molpadia oolitica,124802,,27,Species,burrower,,,,Molpadia oolitica,8322
8363,Sea Urchins (Strongylocentrotus sp.),Oursins (Strongylocentrotus sp.),Strongylocentrotus sp.,123390,Strongylocentrotus,123390,,895,Species,,likely pallidus but difficult to discriminate from droebachiensis,,,Strongylocentrotus,8363
8373,Common Sand Dollar (E. parma),Dollar de sable (E. parma),Echinarachnius parma,158062,Echinarachnius parma,158062,,48,Species,,,,,Echinarachnius parma,8373
8378,Heart Urchin (B. fragilis),Oursin coeur (B. fragilis),Brisaster fragilis,124404,Brisaster fragilis,124404,,1308,Species,shallow burrower,,,,Brisaster fragilis,8378
8390,Sea Stars (Asteroidea),Étoiles de mer (Asteroidea),Asteroidea,123080,Asteroidea,123080,,61,Class,incertain,,,incertain,Asteroidea,8390
8396,Purple Seastar,Astérie boréale commune,Asterias rubens,123776,Asterias rubens,123776,,18,Species,,,,,Asterias rubens,8396
8407,Mud Star (C. crispatus),Étoile de mer (C. crispatus),Ctenodiscus crispatus,123915,Ctenodiscus crispatus,123915,,1747,Species,,,,,Ctenodiscus crispatus,8407
8408,Sea Star (D. multipes),Étoile de mer (D. multipes),Diplopteraster multipes,124128,Diplopteraster multipes,124128,,42,Species,,,,,Diplopteraster multipes,8408
8409,Sea stars (Pteraster sp.),Étoiles de mer (Pteraster sp.),Pteraster sp.,123335,Pteraster,123335,,7,Genus,,,,incertain,Pteraster,8409
8410,Sea Star (P. militaris),Étoile de mer (P. militaris),Pteraster militaris,124147,Pteraster militaris,124147,,261,Species,,,,,Pteraster militaris,8410
8411,Sea Star (P. pulvillus),Étoile de mer (P. pulvillus),Pteraster pulvillus,124151,Pteraster pulvillus,124151,,162,Species,,,,,Pteraster pulvillus,8411
8412,Sea Star (P. obscurus),Étoile de mer (P. obscurus),Pteraster obscurus,124149,Pteraster obscurus,124149,,12,Species,,,,,Pteraster obscurus,8412
8429,Sea Star (C. granularis),Étoile de mer (C. granularis),Ceramaster granularis,124020,Ceramaster granularis,124020,,318,Species,,,,,Ceramaster granularis,8429
8431,Sea Star (H. phrygiana),Étoile de mer (H. phrygiana),Hippasteria phrygiana,124043,Hippasteria phrygiana,124043,,671,Species,,,,,Hippasteria phrygiana,8431
8433,Sea Star (P. parelii),Étoile de mer (P. parelii),Pseudarchaster parelii,124085,Pseudarchaster parelii,124085,,202,Species,,,,,Pseudarchaster parelii,8433
8435,Sea star (Poraniomorpha sp.),Étoile de mer (Poraniomorpha sp.),Poraniomorpha sp.,123321,Poraniomorpha,123321,,114,Genus,"3 species (bidens, hispida, tumida)",,confused in name with borealis (other genus),"3 sp: bidens, hispida, tumida",Poraniomorpha,8435
8444,Sea star (L. furcifer),Étoile de mer (L. furcifer),Lophaster furcifer,124156,Lophaster furcifer,124156,,2,Species,,,,,Lophaster furcifer,8444
8445,Purple Sunstar,Soleil de mer pourpre,Solaster endeca,124160,Solaster endeca,124160,,109,Species,,,,"2e aux profondeurs, mais pas eu depuis des années",Solaster endeca,8445
8446,Sea star (T. mirabilis),Étoile de mer (T. mirabilis),Tremaster mirabilis,124002,Tremaster mirabilis,124002,,5,Species,,,,,Tremaster mirabilis,8446
8447,Spiny Sun Star,Soleil de mer épineux,Crossaster papposus,124154,Crossaster papposus,124154,,472,Species,,,,,Crossaster papposus,8447
8448,Sea star (N. americana),Étoile de mer (N. americana),Novodinia americana,178261,Novodinia americana,178261,,14,Species,,,,,Novodinia americana,8448
8483,Sea Stars (Henricia sp.),Étoiles de mer (Henricia sp.),Henricia sp.,123276,Henricia,123276,,979,Genus,,,,"complexe d'espèce, au genre seulement",Henricia,8483
8510,Sea Stars (Leptasterias sp.),Étoiles de mer (Leptasterias sp.),Leptasterias sp.,123222,Leptasterias,123222,,80,Genus,presume were groenlandica,,,présume est L. groenlandica, , 
8511,Polar Sea Star (L. polaris),Étoile de mer polaire (L. polaris),Leptasterias (Hexasterias) polaris,125154,Leptasterias (Hexasterias) polaris,125154,,148,Species,,,,pas besoin d'afficher le sous-genre,Leptasterias polaris,8511
8513,Greenland Sea Star,Étoile de mer du Groenland,Leptasterias groenlandica,369176,Leptasterias groenlandica,369176,,144,Species,,,,,Leptasterias groenlandica,8513
8515,Sea star (S. albula),Étoile de mer (S. albula),Stephanasterias albula,123808,Stephanasterias albula,123808,,51,Species,,,,,Stephanasterias albula,8515
8516,Sea Star (U. lincki),Étoile de mer (U. lincki),Urasterias lincki,123815,Urasterias lincki,123815,,5,Species,,,,,Urasterias lincki,8516
8520,Sea Star (P. andromeda),Étoile de mer (P. andromeda),Psilaster andromeda,123908,Psilaster andromeda,123908,,245,Species,,,,,Psilaster andromeda,8520
8521,Sea Star (L. arcticus),Stelléridé (L. arcticus),Leptychaster arcticus,123896,Leptychaster arcticus,123896,,72,Species,,,,,Leptychaster arcticus,8521
8530,Brittle Stars (Ophiuroidea),Ophiures (Ophiuroidea),Ophiuroidea,123084,Ophiuroidea,123084,,136,Class,incertain,,,incertain,Ophiuroidea,8530
8540,Basket Stars (Gorgonocephalus sp.),Gorgonocéphales (Gorgonocephalus sp.),Gorgonocephalus sp.,123586,Gorgonocephalus arcticus,124966,,397,Species,,,,, , 
8541,Northen Basket Star  (G. arcticus),Gorgonocéphale (G. arcticus),Gorgonocephalus arcticus,124966,Gorgonocephalus arcticus,124966,,96,Species,,,,,Gorgonocephalus arcticus,8541
8551,Brittle Stars (Ophiura sp.),Ophiures (Ophiura sp.),Ophiura sp.,123574,Ophiura,123574,,5,Genus,,,,incertain,Ophiura,8551
8552,Brittle Star (O. robusta),Ophiure (O. robusta),Ophiura robusta,124933,Ophiura robusta,124933,,32,Species,,,,,Ophiura robusta,8552
8553,Brittle Star (O. sarsii),Ophiure (O. sarsii),Ophiura sarsii,124934,Ophiura sarsii,124934,,812,Species,,,,,Ophiura sarsii,8553
8570,Brittle Star (S. nodosa),Ophiure (S. nodosa),Stegophiura nodosa,124943,Stegophiura nodosa,124943,,1,Species,,,,,Stegophiura nodosa,8570
8575,Brittle Star (O. bidentata),Ophiure épineuse,Ophiacantha bidentata,124978,Ophiacantha bidentata,124978,,357,Species,,,,,Ophiacantha bidentata,8575
8583,Daisy Brittle Star,Ophiure paquerette,Ophiopholis aculeata,125125,Ophiopholis aculeata,125125,,811,Species,,,,,Ophiopholis aculeata,8583
8585,Brittle star (O. glacialis),Ophiure (O. glacialis),Ophioscolex glacialis,125147,Ophioscolex glacialis,125147,,154,Species,,,,,Ophioscolex glacialis,8585
8593,Brittle star (Amphiura sp.),Ophiures (Amphiura sp.),Amphiura sp.,123613,Amphiura,123613,,79,Genus,,,,probablement sundevali,Amphiura,8593
